person_id,rankings
b61a2e79-2dcc-4170-8a04-fdb0b81af476,40
e8182d97-7741-4aec-95c1-b775d958ba8d,40
444a7910-2854-4266-b57b-5f7a5629e10c,50
451e0934-f148-4e48-81f4-028c63af855a,14
a14f05dc-72e0-47f9-a75e-0be420c25385,92
5f4c6aee-67c5-4b16-bf6c-6434580c73fb,40
d6f51f29-3e23-404c-86d1-73af44d11eee,40
74485ff5-25d1-4fc9-aba1-a2cbe315932a,27
2814781a-a4b4-4035-b3b2-4792637ddf23,110
beec2ed8-cf6a-4c06-a18b-722c86d647bd,63
efa443e7-62f0-4eb9-a987-6e6e003f29d6,31
24bc0ca5-119b-4214-ab36-97259463067a,40
b26de1d8-e542-4a46-86ee-dbf25ed463d1,30
344725f5-6d9f-4ce5-9d0f-b86a550e650b,190
43faf897-9ee0-4f55-a90f-ab8553244e03,40
eddcc72a-d210-49b7-bbe3-ea5810461f7a,40
2f99b3f6-d88f-4bba-a16c-1758fd70c76d,40
95617284-b3e3-40a5-b77f-f11e8b237443,40
d8c9c5ab-261c-417e-b021-020a0c531618,30
220b2e86-a962-4efb-b722-dee8a1bcd2f5,40
05cc0838-5ea6-4025-b772-ea75e917592e,6
84146507-56b9-49c4-bf98-e753bc28e210,77
8071cae7-5560-4a95-afd2-f92d690046a5,280
84c7de56-5e2f-466b-a564-0016c5c2c0f3,10
8f51e1ad-2915-4701-819e-7e2989071299,40
1583501b-41f7-4856-bc5e-d352a696167a,90
3dc51f12-a1f8-41ad-8247-16b71ac25597,100
3f6bdd17-bfdc-4cea-b312-16f676b17c22,40
1c15d78e-1612-40bb-8f74-512ecd99c8f2,130
0ffcd574-634c-4612-b9ad-94149902a9c5,23
d2a477fd-3254-4ef7-bd9f-2b4458b6f2f4,40
b4808ab8-24f9-4a9d-b76c-c37c421a1f7b,40
03a945d1-5975-47f8-9165-832d043607e8,40
67eef5a8-5545-459c-b9f7-6c49a634dabd,280
8b0ed87e-cd5b-47a1-84ce-859e4cb358cc,820
d16b5a65-71e9-4858-8bed-e3f7714d3af0,19
b03475a4-0c04-4a73-9f0a-dd5a76ccd4da,39
8dcf25cb-d84b-464f-be35-c11173a1dc72,40
e73ad697-39a6-449a-8206-167e2ac615d6,40
46eb8fd6-25ef-4719-9c80-76eaf5669a55,23
103ca133-bd1c-4f93-96ee-7fa12db7bf6c,40
41314f4d-62e1-4e6f-8fee-0dcaf70bc74d,10
a93617e9-f39c-4c94-ab0b-5f6e9dd07f63,27
4e6004fb-6835-409c-9100-a972c07889a6,120
c9a069e3-497a-4621-b9bf-8d64de0d9b09,13
823a7967-6efd-426f-b9cd-76ce8ca4077f,45
118d6295-5053-4014-b638-f998755ba36e,40
56be6639-099d-413f-97c6-43b9d82adbd5,32
297ff03f-8a0e-4814-ab89-ab8b60f3de6f,48
4b281254-823e-448a-83b2-61b9a67f3620,130
ac8c9468-234d-46c3-9182-e5df85bfb45b,100
5eb89a87-e309-4a99-a150-36470cf0bfbf,48
9a756816-30c8-483f-ac2c-4790f029ed8a,40
9898f26d-a321-43a6-a5d2-d21d6b42f7ee,40
ebdd75c1-b91a-400d-885e-3199d4dfcf94,20
e5272139-4410-4d83-aba0-e2d751471922,80
