person_id,demographic,demographic_value
04278fb4-2cc2-446b-8775-22a1e8ae06b4,movement,no
04278fb4-2cc2-446b-8775-22a1e8ae06b4,dog,yes
04278fb4-2cc2-446b-8775-22a1e8ae06b4,children,no
04278fb4-2cc2-446b-8775-22a1e8ae06b4,garden,yes
0d820d42-1132-458c-aadc-2613dcd9c80c,global,global
f7051326-a727-41fa-bd0c-71c86bcc3fc0,global,global
f7051326-a727-41fa-bd0c-71c86bcc3fc0,gender,woman
f7051326-a727-41fa-bd0c-71c86bcc3fc0,age,younger
f7051326-a727-41fa-bd0c-71c86bcc3fc0,ethnicity,white
f7051326-a727-41fa-bd0c-71c86bcc3fc0,education,older
f7051326-a727-41fa-bd0c-71c86bcc3fc0,income,higher
f7051326-a727-41fa-bd0c-71c86bcc3fc0,movement,no
f7051326-a727-41fa-bd0c-71c86bcc3fc0,dog,yes
f7051326-a727-41fa-bd0c-71c86bcc3fc0,children,no
f7051326-a727-41fa-bd0c-71c86bcc3fc0,garden,yes
3840e0f4-0dd4-44ef-8365-22e640a483a7,global,global
3840e0f4-0dd4-44ef-8365-22e640a483a7,gender,woman
3840e0f4-0dd4-44ef-8365-22e640a483a7,age,middle
3840e0f4-0dd4-44ef-8365-22e640a483a7,ethnicity,white
3840e0f4-0dd4-44ef-8365-22e640a483a7,education,older
3840e0f4-0dd4-44ef-8365-22e640a483a7,income,higher
3840e0f4-0dd4-44ef-8365-22e640a483a7,movement,no
3840e0f4-0dd4-44ef-8365-22e640a483a7,dog,no
3840e0f4-0dd4-44ef-8365-22e640a483a7,children,no
3840e0f4-0dd4-44ef-8365-22e640a483a7,garden,yes
28bee13e-2f7d-45be-9c5d-e13736365dd5,global,global
28bee13e-2f7d-45be-9c5d-e13736365dd5,gender,man
28bee13e-2f7d-45be-9c5d-e13736365dd5,age,middle
28bee13e-2f7d-45be-9c5d-e13736365dd5,ethnicity,white
28bee13e-2f7d-45be-9c5d-e13736365dd5,education,older
28bee13e-2f7d-45be-9c5d-e13736365dd5,income,higher
28bee13e-2f7d-45be-9c5d-e13736365dd5,movement,no
28bee13e-2f7d-45be-9c5d-e13736365dd5,dog,no
28bee13e-2f7d-45be-9c5d-e13736365dd5,children,yes
28bee13e-2f7d-45be-9c5d-e13736365dd5,garden,yes
77106905-32d9-45ed-a8c1-c7a2fe3c8d6c,global,global
77106905-32d9-45ed-a8c1-c7a2fe3c8d6c,gender,woman
77106905-32d9-45ed-a8c1-c7a2fe3c8d6c,age,middle
77106905-32d9-45ed-a8c1-c7a2fe3c8d6c,ethnicity,white
77106905-32d9-45ed-a8c1-c7a2fe3c8d6c,education,older
77106905-32d9-45ed-a8c1-c7a2fe3c8d6c,income,higher
77106905-32d9-45ed-a8c1-c7a2fe3c8d6c,movement,no
77106905-32d9-45ed-a8c1-c7a2fe3c8d6c,dog,no
77106905-32d9-45ed-a8c1-c7a2fe3c8d6c,children,yes
77106905-32d9-45ed-a8c1-c7a2fe3c8d6c,garden,yes
f1a51e14-1cbe-40e1-a9c6-95942c09ee0c,global,global
f1a51e14-1cbe-40e1-a9c6-95942c09ee0c,gender,man
f1a51e14-1cbe-40e1-a9c6-95942c09ee0c,age,younger
f1a51e14-1cbe-40e1-a9c6-95942c09ee0c,ethnicity,white
f1a51e14-1cbe-40e1-a9c6-95942c09ee0c,education,eighteen
f1a51e14-1cbe-40e1-a9c6-95942c09ee0c,income,higher
f1a51e14-1cbe-40e1-a9c6-95942c09ee0c,movement,no
f1a51e14-1cbe-40e1-a9c6-95942c09ee0c,dog,yes
f1a51e14-1cbe-40e1-a9c6-95942c09ee0c,children,no
f1a51e14-1cbe-40e1-a9c6-95942c09ee0c,garden,yes
9b2f2bff-e4f7-4967-89b5-4dd03993230a,global,global
9b2f2bff-e4f7-4967-89b5-4dd03993230a,gender,man
9b2f2bff-e4f7-4967-89b5-4dd03993230a,age,middle
9b2f2bff-e4f7-4967-89b5-4dd03993230a,ethnicity,white
9b2f2bff-e4f7-4967-89b5-4dd03993230a,education,older
9b2f2bff-e4f7-4967-89b5-4dd03993230a,income,higher
9b2f2bff-e4f7-4967-89b5-4dd03993230a,movement,no
9b2f2bff-e4f7-4967-89b5-4dd03993230a,dog,no
9b2f2bff-e4f7-4967-89b5-4dd03993230a,children,yes
9b2f2bff-e4f7-4967-89b5-4dd03993230a,garden,yes
46c3db16-bc66-4dbf-a85e-71ee29c21389,global,global
